Category,Subcategory,Location,Manufacturer Name,Manufacturer Part Number,Item Description,UOM,Price,Volume,
Electrical,Batteries,Cowelton,AMERICAN POWER CONVERSION- APC,SYBT5,SYBT5 APC SYMMETRAL LXBATTERY MODULE,EA, 323.51 , 2 ,
Electrical,Batteries,Cowelton,DURA-CELL BATTERIES,DL123AB2PK,DUR DL123AB2PK 3V PHOTO/ELE/MED BAT,EA, 12.87 , 348 ,
Electrical,Batteries,Cowelton,DURA-CELL BATTERIES,PC1500,DUR PC1500 AA SIZE ALKALINE BAT-CTN,EA, 0.42 ," 8,754 ",
Electrical,Batteries,Cowelton,DURA-CELL BATTERIES,PC1604,DUR PC1604 9V ALKALINE BATTERY,EA, 1.03 , 412 ,
Electrical,Batteries,Cowelton,DURA-CELL BATTERIES,PC1400,DUR PC1400 PROCELL ALKA BATT C 1.5V,EA, 0.48 , 455 ,
Electrical,Batteries,Cowelton,DURA-CELL BATTERIES,PC1300,DUR PC1300 PROCELL ALKA BATT D 1.5V,EA, 0.73 , 109 ,
Electrical Rd 2,Batteries,Cowelton,DURA-CELL BATTERIES,D389/390PK,DUR D389/390PK 1.5V WATCH BATTERY,EA, 0.87 , 12 ,
Electrical,Batteries,Cowelton,DURA-CELL BATTERIES,PC2400,DUR PC2400 AAA ALKALINE BATTERY,EA, 0.29 , 27 ,
Electrical Rd 2,Batteries,Cowelton,ENERGIZER,E92FP12,"BATTERY,AAA,ENGZR,12/PK",PK, 15.68 , 13 ,
Electrical Rd 2,Batteries,Cowelton,ENERGIZER,A91BP8,"BATTERY,AA,ALK,EVRDY,GOLD",PK, 9.29 , 20 ,
Electrical Rd 2,Batteries,Cowelton,ENERGIZER,1251,T&B 1251 1X3/4 MALL REDUCER,EA, 4.60 , 40 ,
Electrical,Batteries,Cowelton,ENERGIZER,EN91,EN91 ENERGIZER INDUSTRIAL AA 24/PACK,EA, 0.46 , 212 ,
Electrical,Batteries,Cowelton,ENERGIZER,ECR2032BP,EV-REDY ECR2032BP 3V LITHIUM BAT,EA, 1.05 , 72 ,
Electrical,Batteries,Cowelton,ENERGIZER,EN92IC24,"BATTERY,AAA,ENGZR",EA, 0.31 , 228 ,
Electrical,Batteries,Cowelton,ENERGIZER,EN93,"ENERGIZER IND ""C"" U/M EACH 12/PACK",EA, 0.72 , 93 ,
Electrical Rd 2,Batteries,Cowelton,ENERGIZER,357,EV-REDY 357 WATCH/CAL BATTERY,EA, 0.90 , 62 ,
Electrical,Batteries,Cowelton,ENERGIZER,EN95,EN95 ENERGIZER INDUSTRIAL D 12/PACK,EA, 0.79 , 62 ,
Electrical,Batteries,Cowelton,ENERGIZER,357BP,EV-REDY 357BP 1.5V SILVER BATTERY,EA, 1.18 , 41 ,
Electrical,Batteries,Cowelton,ENERGIZER,EN92,EN92 ENERGIZER INDUSTRIAL AAA 24/PACK,EA, 0.31 , 152 ,
Electrical,Batteries,Cowelton,ENERGIZER,EN91IC,"BATTERY,AA,ENGZR",EA, 0.31 , 70 ,
Electrical Rd 2,Batteries,Cowelton,ENERGIZER,ECR2016BP,EV-REDY ECR2016BP 3V LITHIUM BAT,EA, 0.84 , 20 ,
Electrical Rd 2,Batteries,Cowelton,ENERGIZER,392BP,EV-REDY 392BP 1.5V WATCH BATTERY,EA, 0.81 , 5 ,
Electrical Rd 2,Batteries,Cowelton,ENERGIZER,386/301 BATTERIES,386/301 BATTERIES                     ;,EA, 0.62 , 3 ,
Electrical Rd 2,Batteries,Cowelton,JASCO BATTERY SPECIALIST,TL-2100S,JASCO TL-2100S 3.6V 2.1AH LITH BATT,EA, 13.39 , 23 ,
Electrical Rd 2,Batteries,Cowelton,NEWARK INONE,A76BP (81F171),A76BP81F171,EA, 1.27 , 18 ,
Electrical,Batteries,Cowelton,PANASONIC,BR2325,BR2325 3V LITHIUM BATTERIES,EA, 3.14 , 5 ,
Electrical,Batteries,Cowelton,POWER SONIC BATTERIES,PS6100,PS PS6100 6V-12AH BATTERY,EA, 30.22 , 17 ,
Electrical,Batteries,Cowelton,RAYOVAC,ALAA-24 ALKALINE AA SIZE - 24 PACK,ALAA-24 ALKALINE AA SIZE - 24 PACK,EA, 11.86 , 40 ,
Electrical,Batteries,Cowelton,RAYOVAC,I6V-B 6V (USE 627X13179) BATTERY,I6V-B 6V (USE 627X13179) BATTERY,EA, 8.26 , 48 ,
Electrical,Batteries,Cowelton,RAYOVAC,AL-9V,RAYOVAC AL-9V 9V ALK IND BATT,EA, 1.52 , 209 ,
Electrical Rd 2,Batteries,Cowelton,RAYOVAC,I6V-B2 6 VLT LANTERN W/BATTERY,I6V-B2 6 VLT LANTERN W/BATTERY,EA, 10.22 , 31 ,
Electrical Rd 2,Batteries,Cowelton,RAYOVAC,AL-AAA-18 ALKALINE AAA 18 PACK,AL-AAA-18 ALKALINE AAA 18 PACK,EA, 10.44 , 6 ,
Electrical,Batteries,Cowelton,RAYOVAC,KECR2032-1,RAYOVAC KECR2032-1 3V LITH ENT BATT,EA, 0.78 , 77 ,
Electrical,Batteries,Cowelton,RAYOVAC,AL-AAA,RAYOVAC AL-AAA SZAAA ALK IND BATT,EA, 0.31 , 189 ,
Electrical Rd 2,Batteries,Cowelton,RAYOVAC,KECR2016-1,RAYOVAC KECR2016-1 3V LITH ENT BATT,EA, 1.11 , 18 ,
Electrical Rd 2,Batteries,Cowelton,RAYOVAC,810-2,RAYOVAC 810-2 1.5V N ALKALINE BATT,EA, 1.06 , 13 ,
Electrical Rd 2,Batteries,Cowelton,RAYOVAC,AL-AA - 8 PACK,AL-AA - 8 PACK,EA, 4.02 , 2 ,
Electrical Rd 2,Batteries,Cowelton,UNDEFINED,17136 18 VOLT BATTERY CHARGER,17136 18 VOLT BATTERY CHARGER,EA, 347.87 , 3 ,
Electrical,Batteries,Middlebury,AMERICAN POWER CONVERSION- APC,SYBT5,SYBT5 APC SYMMETRAL LXBATTERY MODULE,EA, 386.15 , 2 ,
Electrical,Batteries,Middlebury,DURA-CELL BATTERIES,PC1500,DUR PC1500 AA SIZE ALKALINE BAT-CTN,EA, 0.38 ," 3,882 ",
Electrical,Batteries,Middlebury,DURA-CELL BATTERIES,PC2400,DUR PC2400 AAA ALKALINE BATTERY,EA, 0.30 ," 2,570 ",
Electrical,Batteries,Middlebury,DURA-CELL BATTERIES,PC1300,DUR PC1300 PROCELL ALKA BATT D 1.5V,EA, 0.66 , 843 ,
Electrical Rd 2,Batteries,Middlebury,DURA-CELL BATTERIES,D389/390PK,DUR D389/390PK 1.5V WATCH BATTERY,EA, 0.78 , 20 ,
Electrical,Batteries,Middlebury,ENERGIZER,EN91,EN91 ENERGIZER INDUSTRIAL AA 24/PACK,EA, 0.46 ," 1,269 ",
Electrical,Batteries,Middlebury,ENERGIZER,EN91IC,"BATTERY,AA,ENGZR",EA, 0.26 , 629 ,
Electrical,Batteries,Middlebury,ENERGIZER,EN92,EN92 ENERGIZER INDUSTRIAL AAA 24/PACK,EA, 0.28 , 546 ,
Electrical Rd 2,Batteries,Middlebury,ENERGIZER,E92FP12,"BATTERY,AAA,ENGZR,12/PK",PK, 15.20 , 6 ,
Electrical Rd 2,Batteries,Middlebury,ENERGIZER,357,EV-REDY 357 WATCH/CAL BATTERY,EA, 0.79 , 105 ,
Electrical,Batteries,Middlebury,ENERGIZER,EN22,EN22 ENERGIZER INDUSTRIAL 9V 12/PACK,EA, 1.47 , 53 ,
Electrical,Batteries,Middlebury,ENERGIZER,357BP,EV-REDY 357BP 1.5V SILVER BATTERY,EA, 1.18 , 60 ,
Electrical Rd 2,Batteries,Middlebury,ENERGIZER,A91BP8,"BATTERY,AA,ALK,EVRDY,GOLD",PK, 8.72 , 8 ,
Electrical,Batteries,Middlebury,ENERGIZER,EN93,"ENERGIZER IND ""C"" U/M EACH 12/PACK",EA, 0.76 , 61 ,
Electrical Rd 2,Batteries,Middlebury,ENERGIZER,1251,T&B 1251 1X3/4 MALL REDUCER,EA, 4.30 , 4 ,
Electrical,Batteries,Middlebury,ENERGIZER,ECR2032BP,EV-REDY ECR2032BP 3V LITHIUM BAT,EA, 0.93 , 15 ,
Electrical Rd 2,Batteries,Middlebury,ENERGIZER,392BP,EV-REDY 392BP 1.5V WATCH BATTERY,EA, 0.66 , 15 ,
Electrical Rd 2,Batteries,Middlebury,ENERGIZER,ECR2016BP,EV-REDY ECR2016BP 3V LITHIUM BAT,EA, 1.09 , 6 ,
Electrical Rd 2,Batteries,Middlebury,ENERGIZER,386/301 BATTERIES,386/301 BATTERIES                     ;,EA, 0.61 , 9 ,
Electrical Rd 2,Batteries,Middlebury,JASCO BATTERY SPECIALIST,TL-2100S,JASCO TL-2100S 3.6V 2.1AH LITH BATT,EA, 14.23 , 20 ,
Electrical Rd 2,Batteries,Middlebury,NEWARK INONE,A76BP (81F171),A76BP81F171,EA, 1.50 , 33 ,
Electrical,Batteries,Middlebury,PANASONIC,BR2325,BR2325 3V LITHIUM BATTERIES,EA, 3.04 , 27 ,
Electrical,Batteries,Middlebury,POWER SONIC BATTERIES,PS6100,PS PS6100 6V-12AH BATTERY,EA, 29.27 , 2 ,
Electrical,Batteries,Middlebury,RAYOVAC,ALAA-24 ALKALINE AA SIZE - 24 PACK,ALAA-24 ALKALINE AA SIZE - 24 PACK,EA, 14.33 , 38 ,
Electrical,Batteries,Middlebury,RAYOVAC,AL-AAA,"BATTERY,AAA,INDSTRL",PK, 1.10 , 225 ,
Electrical,Batteries,Middlebury,RAYOVAC,I6V-B 6V (USE 627X13179) BATTERY,I6V-B 6V (USE 627X13179) BATTERY,EA, 8.45 , 29 ,
Electrical,Batteries,Middlebury,RAYOVAC,AL-D,RAYOVAC AL-D SZ D ALK IND BATT,EA, 0.85 , 254 ,
Electrical,Batteries,Middlebury,RAYOVAC,AL-9V,RAYOVAC AL-9V 9V ALK IND BATT,EA, 1.16 , 183 ,
